"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2020-01-19T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",2.2,"bereinigt"
"2020-01-19T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",4.75,"bereinigt"
"2020-01-19T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",981.95,"bereinigt"
"2020-01-19T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",67.81,"bereinigt"
"2020-01-19T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.84,"bereinigt"
"2020-01-19T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",2.46,"bereinigt"
"2020-01-19T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",35.42,"bereinigt"
"2020-01-19T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",984.86,"bereinigt"
"2020-01-19T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.63,"bereinigt"
"2020-01-19T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.87,"bereinigt"
"2020-01-19T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",14.82,"bereinigt"
"2020-01-19T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",982.49,"bereinigt"
"2020-01-19T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",3.82,"bereinigt"
"2020-01-20T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",1.31,"bereinigt"
"2020-01-20T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-20T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",988.49,"bereinigt"
"2020-01-20T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",85.78,"bereinigt"
"2020-01-20T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",3.39,"bereinigt"
"2020-01-20T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",1.52,"bereinigt"
"2020-01-20T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-20T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",991.48,"bereinigt"
"2020-01-20T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",3.25,"bereinigt"
"2020-01-20T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",1.27,"bereinigt"
"2020-01-20T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-20T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",989.03,"bereinigt"
"2020-01-20T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",3.51,"bereinigt"
"2020-01-21T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",0.2,"bereinigt"
"2020-01-21T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"bereinigt"
"2020-01-21T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",986.49,"bereinigt"
